Texte,Classe
"تفاعل التلاميذ مع المعلم 👏
أنشودة الحواس الخمس❤
لأساتذة المستوى الأول
أنا إنسان لي إحساس 🥰
🎵أنشودة درس الحواس الخمس👃👋👀👂👅
أنا إنسانٌ👦 لي إحساس😊
أملكُ دوماً خَمس حواس👃👋👀👂👅
بالأنفِ👃 أشمّ الوردة🌹
بيدي 👋 ألمسُ وجه الجدّة👵
بالعينينِ👀 أرى الأعلام 🇩🇿
تخفق في أمنٍ وسلام
بالأذنينِ👂👂أسمع تغريد العصفور 🐥
وهو يحلِّقُ فوق الدّور🏡🏠🏚
بِلساني👅 أتذوّق حلوى 🍒🍇🍓🍎🍍
وبها جسمي يُصبِحُ أقوى💪",Culture
الدولة تقتل مواطن كل 33 دقيقة,Bien-être
"تم الغاء المسيرة لعدم اكتمال النصاب 😔
اللهم اني بلغت.
اللهم فاشهد.",Culture
"عاجل: بعد مرور اكثر من 60 يوم متتالي 
 بصفر إجراء، 
بصفر ذكاء، 
بصفر رؤية، 
وبصفر انسانية، 
اكد فيروس كورونا المستجد انه من الان لا وجود لوزارة صحة في تونس.",Bien-être
"تراب بلادنا 🇹🇳 بركته سابقة ، من شمالها لجنوبها خيره ما يوفاش .. 
من أرض الخير و البركة  أرض نابل التي تتزين كل ربيع بأثمن زهرة بيضاء و تفوح فيها ريحتها و يبدا ربيع floraison  بالتقطير المحترف  لاستخراج زيتها النادر le NEROLI
و ماؤها العطري الأصلي بدون أي إضافات",Shopping
"#تخفيضات و عروض إستتنائية خاصة بعيد ميلاد jumia العاشر🎊😍
🎁 مجموعة العناية بالشعر بالكافيار 29DT
🎁 مجموعة الكيراتين كافيار29DT 
🎁 مجموعة البروتين الكولاجين كافيار 39DT
🎁 مجموعة التانينو كولاجين كافيار49DT
 ",Shopping
"العربیة بین یدي ٲولادنا 1/12
سلسلة في تعلیم اللغة العربیة
لغیر الناطقین بها 
تٲلیف.عبدالرحمن بن ابراهیم الفوزان
د.محمد بن عبدالرحمن 
طبعة جدیدة ملونة وفاخرة",Shopping
"لقاء مع الكاتب الحر الشاعر الفيلسوف سليم دولة .
يقدمه الدكتور مصطفى الكيلاني .
ويدير اللقاء الأستاذ فتحي الحضري 
يوم السبت 19 مارس 2022 على الساعة الثالثة بعد الزوال
بدار الثقافة باب بحر بصفاقس",Evénement
"في سابقة خطيرة في العالم
المسؤولين في الدولة التونسية بكل وقاحة يتعمدون تغييب نشر أرقام الجائحة منذ 5 ايام !!!
حجب المعلومة على المواطن بعد تعمد تزييف الواقع سابقا فيها ضرب واضح لمبدأ تعزيز الشفافية والمساءلة وتعرض حياة الشعب التونسي للخطر اكثر من ماهو عليه الآن ..
وهذا ما يتنافى مع القانون الأساسي عدد 22 لسنة 2016 المؤرخ في 24 مارس 2016 ويخالف منشور عدد 19 لسنة 2018 مؤرخ في 18 ماي 2018 الذي يتعلق بالحق في النفاذ إلى المعلومة و الذي يهدف بالأساس إلى تحسين جودة المرفق ال…
Voir plus",Bien-être
المغرب تلغي جميع الرحلات مع بريطانية وهولندا نظرا للانتشار السريع للمتحول AY.4.2,Bien-être
لبنان التي اعلنت افلاسها لم تقبل بالتضحية بشعبها ودخلت في الحجر الصحي,Bien-être
ومن التفاؤل ما قتل,Bien-être
"تم الغاء المسيرة لعدم اكتمال النصاب 😔
اللهم اني بلغت.
اللهم فاشهد.",Bien-être
تسريب حصري للفنانة منال عبد القوي اكرام عزوز و ناجحة جمال,Culture
جربت منتجات اندونيسية غريبة مع @Amr Sherif,Shopping
شاورما مصري ضد شاورما سعودي,Sport
"عاجل: بعد مرور اكثر من 60 يوم متتالي 
 بصفر إجراء، 
بصفر ذكاء، 
بصفر رؤية، 
وبصفر انسانية، 
اكد فيروس كورونا المستجد انه من الان لا وجود لوزارة صحة في تونس.",Bien-être
رحلة البحث عن احلى و الذ سناكس في السوبرماركت,Shopping
جربت منتجات غريبة بلون واحد ,Shopping
"تمتعي بشعر حيوي ولامع وطويل وكثيف 😍😍
زيت املا للشعر 😍😍 
 🌸يحافظ زيت دابر أملا على لون الشعر الأصلي وعدم تغيير لون الشعر اللون الأبيض
🌸 بيساعد في الحصول على لون شعر جميل وقوي وغير باهت
🌸 يعالج زيت دابر املا الشعر من التقصف ويحتوي على فيتامين C🤩والذي يمنع تساقط الشعر وتقصفه
🌸يعمل زيت دابر أملا على تطويل الشعر وتغذيته بشكل صحي
🌸يساعد زيت دابر أملا على تنشيط الدورة الدموية عندما تقوُمِ بتدليك فروة رأسك بزيت دابر أملا لمدة 5 دقائق مما يساعد في تدفق الدم لخلايا الشعر",Shopping
"سياسة الترهيب تبدأ منذ مرحلة انجاز الاطروحة ...الخوف من يحب الاطروحة ..الخوف من عدم التمتع بتمديد التسجيل في الدكتورا..االخوف من عدم  الحصول على منحة تداول من اجل تربص علمي ...لخوف من تعطيل مناقشة الاطروحة ...الخوف من عدم الحصول على ملاحظة مشرف جدا ......كل هذا بكرس عقلية الخوف من بطش السبستام ..و هذا ما نجح فيه هذا الأخير حتى في مرحلة ما بعد المناقشة و الحصول على الشهادة ...الخوف من عدم الحصول على عقد تدريس أو ساعات عرضية ...الخوف من الحرمان من البوستدوك ...الخوف من عرقلة نشر ورقة بحثية من طرف المخبر ....
منطق الابتزاز و سياسة العصا و الجزرة يرسخ عقلية الخوف و الخضوع و تجعل الدكتور الباحث بين مطرقة البطالة أو هشاشة الوضعية المهنية و بين سندان المنظومة و بطشها..ليستمر الامر مع مناظرة الانتداب للتعليم العالي.",Industrie
"حتى بلع الريق بدون ألم يستحق الشكر يوميا
فأين الحامدون",Bien-être
دورات مجانية عبر الإنترنت مطوَّرة لمساعدتك في حياتك المهنية. اختر درسًا واحدًا أو وسّع معارفك عبر التسجيل في دورة كاملة.,Culture
"😍 كي تدخل و تريزيرفي من توّا على 𝐓𝐮𝐧𝐢𝐬𝐢𝐞𝐁𝐨𝐨𝐤𝐢𝐧𝐠
العايلة الكل تتفرهد 
👉 https://cutt.ly/EZgQRH6
🎯 تخفيضات في أوت توصل حتى ل 40% وعطلة صغيرك بلاش في العديد من النزل
مالا أدخل على 𝐓𝐮𝐧𝐢𝐬𝐢𝐞𝐁𝐨𝐨𝐤𝐢𝐧𝐠 ... و تفرهد
☎️ مصلحة الحرفاء على ذمتكم على الرقم الموحد : 71124124
🏠 31 فرع موزعين على كامل الجمهورية لإستقبالكم : https://bit.ly/2Yu74ZJ
",Shopping
"قصور الغدة الدرقية اعراضه واهم الاغذية التي تساعد على تنشيط الغدة الدرقية ولا تحتاج للادوية
مزيد من التفاصيل تابع هنا",Bien-être
